column number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
units,1,text,text,text,text,1,cSt,m,text,m,1,text,m,1,text,m,1,text,m,1,text,m,m,m,m,m,m,kg,kg,kg,kg,m,kPa,s,text,text,1,Hz,RPM,g,cm/s,g-s,g-s,m/s,m/s/s,s,g-s,m/s,g,g,g,g,1,cm/s,g-s,g-s,m/s,m/s/s,g-s,g-s,m/s,mm,mm,rad,rad,text,url,text,text,text,text,text,1,text
Column Name,Event No ,Event Id,Researcher,Test,Struct,Nscale,Visc  ,Water  ,Mat L1,H L1 ,Dr L1,Mat L2,H L2 ,Dr L2,Mat L3,H L3 ,Dr_L3,Mat_L4,H_L4 ,Dr_L4,Curvedsurf,W ,L ,T ,H ,H_Cm ,H_Cd  ,M_Struct  ,M_Deck ,M_Col  ,M_Foot ,Embed ,Q ,T_Fb ,Modification,Motion,Amp,IF ,RPM,PBA,PBV,CAV5  ,CAVstd ,Ia_s ,SIR ,cCAV5 ,cCAVstd  ,cIa ,PGA_s 1  ,PGA_s 2  ,PGA_s 3  ,PGA_s 4  ,Acc No,PGV_s ,CAV5_s,CAVstd_s  ,Ia_s ,SIR_s  ,cCAV5_s ,cCAVstd_s  ,cIa_s  ,Set  ,cSet  ,Rot  ,cRot ,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments
,9,T6-30-03-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,6,2.1,3.9,334414,183013,N/A,151401,0.7,80,0.21,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,N/A,2,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,80,84.8,0.00388,1.00388,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing
,10,T6-30-03-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,12,18,0.7,6,2.1,4.1,1321018,715413,N/A,605605,0.7,80,0.26,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,N/A,2,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,95.4,100.6,0.00306,1.00306,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing
,11,T6-30-03-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,10.2,4.2,9,550701,399300,N/A,151401,0.7,130,0.33,none,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,N/A,2,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,104.6,109,-0.00357,0.99643,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing
,12,T6-30-03-FF,SHD01,T6-30,FF,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.3,Monterey Sand,2,0.86,none,none,none,no,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Moderate Port Island,1.7,2750,75.9,0.19,21.45,0.35,0.27,0.33,0.05,0.44,0.3,0.36,0.26,0.27,0.28,N/A,2,47.96,0.99,0.77,1.41,0.18,1.36,0.98,1.65,79.4,83.2,N/A - FF,#VALUE!,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-03-BMA.dat,T6-30-03-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,SHD01 experienced saturation issues with draining before testing
,13,T6-30-04-A,SHD01,T6-30,A,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,6,2.1,3.9,334414,183013,N/A,151401,0.7,80,0.21,none,Large Port Island,5.1,2750,75.9,0.5,52.45,1.37,1.23,3.93,0.57,1.81,1.53,4.29,0.46,0.57,0.55,N/A,2,98.19,1.95,1.58,4.56,0.6,3.31,2.56,6.21,592.9,677.7,0.02091,0.02494,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-04-BMA.dat,T6-30-04-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",4,SHD01 experienced saturation issues with draining before testing
,14,T6-30-04-B,SHD01,T6-30,B,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,12,18,0.7,6,2.1,4.1,1321018,715413,N/A,605605,0.7,80,0.26,none,Large Port Island,5.1,2750,75.9,0.5,52.45,1.37,1.23,3.93,0.57,1.81,1.53,4.29,0.46,0.57,0.55,N/A,2,98.19,1.95,1.58,4.56,0.6,3.31,2.56,6.21,547.7,648.3,0.00865,0.01055,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-04-BMA.dat,T6-30-04-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",4,SHD01 experienced saturation issues with draining before testing
,15,T6-30-04-C,SHD01,T6-30,C,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.4,Monterey Sand,2,0.86,none,none,none,no,6,9,0.7,10.2,4.2,9,550701,399300,N/A,151401,0.7,130,0.33,none,Large Port Island,5.1,2750,75.9,0.5,52.45,1.37,1.23,3.93,0.57,1.81,1.53,4.29,0.46,0.57,0.55,N/A,2,98.19,1.95,1.58,4.56,0.6,3.31,2.56,6.21,667.5,776.4,-0.00177,-0.0047,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-04-BMA.dat,T6-30-04-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",4,SHD01 experienced saturation issues with draining before testing
,16,T6-30-04-FF,SHD01,T6-30,FF,55,20,1.1,Nevada Sand,18,0.86,Nevada Sand,6,0.3,Monterey Sand,2,0.86,none,none,none,no,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Large Port Island,5.1,2750,75.9,0.5,52.45,1.37,1.23,3.93,0.57,1.81,1.53,4.29,0.46,0.57,0.55,N/A,2,98.19,1.95,1.58,4.56,0.6,3.31,2.56,6.21,235.1,318.3,N/A - FF,N/A - FF,SHD01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T6-30-04-BMA.dat,T6-30-04-SMA.dat,"A18, A29, A34",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",4,SHD01 experienced saturation issues with draining before testing
,17,T3-30-01-A,SHD02,T3-30,A,55,22,1.1,Nevada Sand,21,0.9,Nevada Sand,3,0.3,Monterey Sand,2,0.9,none,none,none,no,6,9,0.7,6,2.1,3.9,334414,183013,N/A,151401,0.7,80,0.21,none,Step Wave,0.9,4000,75.4,0,0.32,0,0,0,0,0,0,0,0.03,0.02,N/A,N/A,1,1.03,0.02,0,0.01,0,0.02,0,0.01,1.5,1.5,-0.00026,-0.00026,SHD02 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T3-30-01-BMA.dat,T3-30-01-SMA.dat,"A14, A26",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,
,18,T3-30-01-B,SHD02,T3-30,B,55,22,1.1,Nevada Sand,21,0.9,Nevada Sand,3,0.3,Monterey Sand,2,0.9,none,none,none,no,12,18,0.7,6,2.1,4.1,1321018,715413,N/A,605605,0.7,80,0.26,none,Step Wave,0.9,4000,75.4,0,0.32,0,0,0,0,0,0,0,0.03,0.02,N/A,N/A,1,1.03,0.02,0,0.01,0,0.02,0,0.01,0.8,0.8,0.00004,0.00004,SHD02 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T3-30-01-BMA.dat,T3-30-01-SMA.dat,"A14, A26",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,
,19,T3-30-01-C,SHD02,T3-30,C,55,22,1.1,Nevada Sand,21,0.9,Nevada Sand,3,0.3,Monterey Sand,2,0.9,none,none,none,no,6,9,0.7,10.2,4.2,9,550701,399300,N/A,151401,0.7,130,0.33,none,Step Wave,0.9,4000,75.4,0,0.32,0,0,0,0,0,0,0,0.03,0.02,N/A,N/A,1,1.03,0.02,0,0.01,0,0.02,0,0.01,-0.1,-0.1,-0.00002,-0.00002,SHD02 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T3-30-01-BMA.dat,T3-30-01-SMA.dat,"A14, A26",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,
,20,T3-30-01-FF,SHD02,T3-30,FF,55,22,1.1,Nevada Sand,21,0.9,Nevada Sand,3,0.3,Monterey Sand,2,0.9,none,none,none,no,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Step Wave,0.9,4000,75.4,0,0.32,0,0,0,0,0,0,0,0.03,0.02,N/A,N/A,1,1.03,0.02,0,0.01,0,0.02,0,0.01,0.3,0.3,N/A - FF,N/A - FF,SHD02 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2006-0224.groups/,T3-30-01-BMA.dat,T3-30-01-SMA.dat,"A14, A26",N/A,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",1,
