column number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
units,1,text,text,text,text,1,cSt,m,text,m,1,text,m,1,text,m,1,text,m,1,text,m,m,m,m,m,m,kg,kg,kg,kg,m,kPa,s,text,text,1,Hz,RPM,g,cm/s,g-s,g-s,m/s,m/s/s,s,g-s,m/s,g,g,g,g,1,cm/s,g-s,g-s,m/s,m/s/s,g-s,g-s,m/s,mm,mm,rad,rad,text,url,text,text,text,text,text,1,text
Column Name,Event No ,Event Id,Researcher,Test,Struct,Nscale,Visc  ,Water  ,Mat L1,H L1 ,Dr L1,Mat L2,H L2 ,Dr L2,Mat L3,H L3 ,Dr_L3,Mat_L4,H_L4 ,Dr_L4,Curvedsurf,W ,L ,T ,H ,H_Cm ,H_Cd  ,M_Struct  ,M_Deck ,M_Col  ,M_Foot ,Embed ,Q ,T_Fb ,Modification,Motion,Amp,IF ,RPM,PBA,PBV,CAV5  ,CAVstd ,Ia_s ,SIR ,cCAV5 ,cCAVstd  ,cIa ,PGA_s 1  ,PGA_s 2  ,PGA_s 3  ,PGA_s 4  ,Acc No,PGV_s ,CAV5_s,CAVstd_s  ,Ia_s ,SIR_s  ,cCAV5_s ,cCAVstd_s  ,cIa_s  ,Set  ,cSet  ,Rot  ,cRot ,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments
,105,T3.9-50-05-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Step Wave,1,4000,76.7,N/A,N/A,N/A,N/A,N/A,N/A,0.43,0.28,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.54,0.7,0,6.3,0,0.00493,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",5,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,106,T3.9-50-05-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Step Wave,1,4000,76.7,N/A,N/A,N/A,N/A,N/A,N/A,0.43,0.28,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.54,0.7,0,73.3,0,-0.00469,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",5,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,107,T3.9-50-05-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Step Wave,1,4000,76.7,N/A,N/A,N/A,N/A,N/A,N/A,0.43,0.28,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.54,0.7,0,59.5,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",5,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,108,T3.9-50-05-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Step Wave,1,4000,76.7,N/A,N/A,N/A,N/A,N/A,N/A,0.43,0.28,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.54,0.7,0,33.7,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",5,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,109,T3.9-50-06-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,59.2,174.9,-0.00078,-0.00262,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,110,T3.9-50-06-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,78.8,196.8,-0.0017,-0.00451,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,111,T3.9-50-06-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,49,134.7,0.00172,0.0001,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,112,T3.9-50-06-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,41.4,116.8,-0.00472,-0.01427,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,113,T3.9-50-06-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,11.2,17.5,0.00251,0.00744,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,114,T3.9-50-06-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,53.8,127.1,-0.00195,-0.00664,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,115,T3.9-50-06-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,35.8,95.3,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,116,T3.9-50-06-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,N/A,N/A,2,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,19.8,53.5,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,117,T3.9-50-07-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,434.5,609.4,-0.01429,-0.01691,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,118,T3.9-50-07-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,447.4,644.2,-0.01278,-0.01729,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,119,T3.9-50-07-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,392.5,527.2,0.00016,0.00026,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,120,T3.9-50-07-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,301.8,418.6,-0.03963,-0.0539,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,121,T3.9-50-07-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,142.1,159.5,0.03131,0.03875,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,122,T3.9-50-07-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,364.2,491.3,-0.00313,-0.00977,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,123,T3.9-50-07-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,108,203.4,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,124,T3.9-50-07-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,N/A,N/A,2,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,83.5,137,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,125,T3.9-50-08-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,609.4,0,-0.01691,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,126,T3.9-50-08-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,0,179,0.87,none,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,644.2,0,-0.01729,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,127,T3.9-50-08-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,527.2,0,0.00026,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,128,T3.9-50-08-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,none,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,418.6,0,-0.0539,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,129,T3.9-50-08-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,159.5,0,0.03875,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,130,T3.9-50-08-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691,792943,28117,210631,1.4,179,0.87,Unattached Piles,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,491.3,0,-0.00977,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
,131,T3.9-50-08-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,N/A - FF,Step Wave,1,4000,76.6,N/A,N/A,N/A,N/A,N/A,N/A,2.13,1.74,4.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.19,2.5,7.05,0,203.4,N/A - FF,N/A - FF,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,#VALUE!,#VALUE!,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",8,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials
