comparison,groups,mean_accuracy_difference,median_accuracy_difference,accuracy_wins,accuracy_ties,accuracy_losses,mean_false_safe_rate_difference,false_safe_improvements,false_safe_ties,false_safe_worse
proposed_predictive_centroid_minus_always_mixed,6,0.090457375479,0.015625,3,3,0,0.0512366584565,0,3,3
proposed_predictive_centroid_minus_flexibility_only,6,0.109661188207,0.0625,3,2,1,0.00483514330497,2,1,3
proposed_predictive_centroid_minus_majority_class,6,0.152957375479,0.0833333333335,3,3,0,0.0512366584565,0,3,3
proposed_predictive_centroid_minus_spectral_slope_only,6,0.108554190529,0.047619047619,3,3,0,-0.276107998919,3,3,0
