row_id,Event No,Event Id,Researcher,Test,Struct,Nscale,Visc,Water,Mat L1,H L1,Dr L1,Mat L2,H L2,Dr L2,Mat L3,H L3,Dr_L3,Mat_L4,H_L4,Dr_L4,Curvedsurf,W,L,T,H,H_Cm,H_Cd,M_Struct,M_Deck,M_Col,M_Foot,Embed,Q,T_Fb,Modification,Motion,Amp,IF,RPM,PBA,PBV,CAV5,CAVstd,Ia_s,SIR,cCAV5,cCAVstd,cIa,PGA_s 1,PGA_s 2,PGA_s 3,PGA_s 4,Acc No,PGV_s,CAV5_s,CAVstd_s,Ia_s_2,SIR_s,cCAV5_s,cCAVstd_s,cIa_s,Set,cSet,Rot,cRot,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments,PGA_surface_max,surface_to_base_pga_ratio,apparent_acceleration_benefit,high_cumulative_settlement,high_cumulative_rotation,observed_settlement_rotation_penalty,observed_false_safe_if_acceleration_only,baseline_always_flag,baseline_intensity_only,baseline_structure_only,risk_score,risk_ge_q_0.05,risk_ge_q_0.10,risk_ge_q_0.15,risk_ge_q_0.20,risk_ge_q_0.25,risk_ge_q_0.30,risk_ge_q_0.35,risk_ge_q_0.40,risk_ge_q_0.45,risk_ge_q_0.50,risk_ge_q_0.55,risk_ge_q_0.60,risk_ge_q_0.65,risk_ge_q_0.70,risk_ge_q_0.75,risk_ge_q_0.80,risk_ge_q_0.85,risk_ge_q_0.90,risk_ge_q_0.95,proposed_pre_response_guardrail
,80,T3.9-50-02-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Small Port Island,0.5,2750,76.6,0.05,6.89,0.08,0.01,0.02,0.0,0.08,0.01,0.02,0.06,0.06,,,2.0,11.58,0.16,0.09,0.07,0.01,0.17,0.09,0.07,4.8,4.8,-0.00047,-0.00047,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-02-BMA.dat,T3.9-50-02-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.06,1.2,False,False,False,False,False,True,False,True,-1.4055181243302952,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,81,T3.9-50-02-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Small Port Island,0.5,2750,76.6,0.05,6.89,0.08,0.01,0.02,0.0,0.08,0.01,0.02,0.06,0.06,,,2.0,11.58,0.16,0.09,0.07,0.01,0.17,0.09,0.07,1.1,1.1,5e-05,5e-05,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-02-BMA.dat,T3.9-50-02-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.06,1.2,False,False,False,False,False,True,False,True,-1.4055181243302952,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,82,T3.9-50-02-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Small Port Island,0.5,2750,76.6,0.05,6.89,0.08,0.01,0.02,0.0,0.08,0.01,0.02,0.06,0.06,,,2.0,11.58,0.16,0.09,0.07,0.01,0.17,0.09,0.07,4.2,4.2,-0.00176,-0.00176,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-02-BMA.dat,T3.9-50-02-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.06,1.2,False,False,False,False,False,True,False,True,-1.4055181243302952,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,83,T3.9-50-02-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Small Port Island,0.5,2750,76.6,0.05,6.89,0.08,0.01,0.02,0.0,0.08,0.01,0.02,0.06,0.06,,,2.0,11.58,0.16,0.09,0.07,0.01,0.17,0.09,0.07,1.6,1.6,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-02-BMA.dat,T3.9-50-02-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.06,1.2,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,84,T3.9-50-02-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Small Port Island,0.5,2750,76.6,0.05,6.89,0.08,0.01,0.02,0.0,0.08,0.01,0.02,0.06,0.06,,,2.0,11.58,0.16,0.09,0.07,0.01,0.17,0.09,0.07,2.5,2.5,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-02-BMA.dat,T3.9-50-02-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",2,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.06,1.2,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,85,T3.9-50-03-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,107.7,115.7,-0.00221,-0.00184,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,False,-0.3930994101847683,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
,86,T3.9-50-03-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,112.0,118.0,-0.0023,-0.00281,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,False,-0.3930994101847683,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
,87,T3.9-50-03-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,80.3,85.7,-0.00112,-0.00161,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,True,0.17547412249940927,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
,88,T3.9-50-03-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,70.6,75.4,-0.00909,-0.00955,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,True,0.17547412249940927,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
,89,T3.9-50-03-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,5.2,6.3,0.00488,0.00493,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,True,0.17547412249940927,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
,90,T3.9-50-03-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,69.0,73.3,-0.00294,-0.00469,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,True,0.17547412249940927,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True
,91,T3.9-50-03-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,58.0,59.5,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,92,T3.9-50-03-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Moderate Port Island,1.5,2750,76.4,0.16,20.78,0.35,0.26,0.31,0.05,0.43,0.28,0.33,,0.17,,,2.0,28.61,0.57,0.45,0.63,0.08,0.73,0.54,0.7,31.2,33.7,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-03-BMA.dat,T3.9-50-03-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",3,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.17,1.0625,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,109,T3.9-50-06-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,59.2,174.9,-0.00078,-0.00262,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,False,-0.06450191390818752,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True
,110,T3.9-50-06-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,78.8,196.8,-0.0017,-0.00451,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,False,-0.06450191390818752,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True
,111,T3.9-50-06-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,49.0,134.7,0.00172,0.0001,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,True,0.50407161877599,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True
,112,T3.9-50-06-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,41.4,116.8,-0.00472,-0.01427,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,True,True,False,True,False,True,0.50407161877599,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True
,113,T3.9-50-06-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,11.2,17.5,0.00251,0.00744,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,True,0.50407161877599,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True
,114,T3.9-50-06-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,53.8,127.1,-0.00195,-0.00664,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,True,0.50407161877599,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True
