fold,model,tests_used,accuracy,balanced_accuracy,false_safe_rate,mixed_recall,safe_precision,status
Analytical and Experimental Development of Bridges with Foundations Allowed to Uplift During Earthquakes,solver_backed_conservative,42,0.14285714285714285,0.3333333333333333,0.0,1.0,0.0,baseline_or_diagnostic
Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,solver_backed_conservative,58,0.6896551724137931,0.5925925925925926,0.06896551724137931,0.7777777777777778,0.8666666666666667,baseline_or_diagnostic
NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,solver_backed_conservative,32,0.59375,0.5614035087719298,0.1875,0.6842105263157895,0.5,baseline_or_diagnostic
Performance of Shallow Foundations,solver_backed_conservative,11,0.6363636363636364,0.5,0.0,1.0,0.0,baseline_or_diagnostic
Soil-Foundation-Structure Systems Beyond Conventional Seismic Failure Thresholds: Application to New or Existing Structures and Monuments,solver_backed_conservative,48,0.5,0.3333333333333333,0.0,1.0,0.0,baseline_or_diagnostic
nan,solver_backed_conservative,3,1.0,1.0,0.0,1.0,0.0,baseline_or_diagnostic
