dataset,force_beneficial_cases,force_beneficial_accuracy,predicted_safe_cases,safe_precision,false_safe_rate_within_predicted_safe,false_safe_rate_all_force_beneficial,mixed_recall_force_beneficial,status
FoRDy,87,0.6206896551724138,29,0.6551724137931034,0.3448275862068966,0.11494252873563218,0.7777777777777778,screening_safe_precision_reported
FoRCy,189,0.7936507936507936,13,0.7692307692307693,0.23076923076923078,0.015873015873015872,0.9790209790209791,screening_safe_precision_reported
FoRDy+FoRCy,276,0.7391304347826086,42,0.6904761904761905,0.30952380952380953,0.04710144927536232,0.9308510638297872,screening_safe_precision_reported
