model,tests_used,accuracy,balanced_accuracy,false_safe_rate,mixed_recall,safe_precision,status
always_mixed,194,0.39690721649484534,0.3333333333333333,0.0,1.0,0.0,baseline_or_diagnostic
flexibility_only,194,0.34536082474226804,0.30197841959035987,0.05154639175257732,0.7662337662337663,0.2857142857142857,baseline_or_diagnostic
majority_class,194,0.33505154639175255,0.28590812172901725,0.0,0.7532467532467533,0.0,baseline_or_diagnostic
solver_backed_conservative,194,0.5103092783505154,0.5033766233766234,0.05154639175257732,0.8701298701298701,0.7619047619047619,pass_solver_backed_screening_gate
solver_raw_class,194,0.3402061855670103,0.30186728694191384,0.0,0.5324675324675324,0.0,baseline_or_diagnostic
spectral_slope_only,194,0.37628865979381443,0.4001731601731602,0.38144329896907214,0.4805194805194805,0.32727272727272727,baseline_or_diagnostic
