threshold_set,dataset,tests_used,accuracy,false_safe_rate,mixed_precision,mixed_recall,safe_precision,false_safe_rate_within_predicted_safe
strict_rotation_0p005,FoRDy,135,0.7851851851851852,0.13333333333333333,0.8103448275862069,0.7230769230769231,0.3793103448275862,0.6206896551724138
strict_rotation_0p005,FoRCy,456,0.9605263157894737,0.006578947368421052,0.9147727272727273,0.9817073170731707,0.7692307692307693,0.23076923076923078
strict_rotation_0p005,FoRDy+FoRCy,591,0.9204737732656514,0.03553299492385787,0.8888888888888888,0.9082969432314411,0.5,0.5
base_rotation_0p010,FoRDy,135,0.7555555555555555,0.07407407407407407,0.603448275862069,0.7777777777777778,0.6551724137931034,0.3448275862068966
base_rotation_0p010,FoRCy,456,0.9144736842105263,0.006578947368421052,0.7954545454545454,0.9790209790209791,0.7692307692307693,0.23076923076923078
base_rotation_0p010,FoRDy+FoRCy,591,0.8781725888324873,0.021996615905245348,0.7478632478632479,0.9308510638297872,0.6904761904761905,0.30952380952380953
lenient_rotation_0p020,FoRDy,135,0.6518518518518519,0.02962962962962963,0.3448275862068966,0.8333333333333334,0.8620689655172413,0.13793103448275862
lenient_rotation_0p020,FoRCy,456,0.8399122807017544,0.0021929824561403508,0.6704545454545454,0.9915966386554622,0.9230769230769231,0.07692307692307693
lenient_rotation_0p020,FoRDy+FoRCy,591,0.7969543147208121,0.008460236886632826,0.5897435897435898,0.965034965034965,0.8809523809523809,0.11904761904761904
