model,n,safe_rate,false_safe_count,false_safe_rate,missed_safe_count,missed_safe_rate,true_safe_count,utility_per_case,always_flag_utility_per_case,net_value_vs_always_flag,loss_ratio_false_safe_to_false_alarm
always_flag_mixed,650,0.0,0,0.0,96,0.1476923076923077,0,-0.1476923076923077,-0.1476923076923077,0.0,10.0
optimistic_force_reduction_rule,650,0.48615384615384616,220,0.3384615384615385,0,0.0,96,-3.236923076923077,-0.1476923076923077,-3.089230769230769,10.0
proposed_proxy_map,650,0.06461538461538462,13,0.02,67,0.10307692307692308,29,-0.25846153846153846,-0.1476923076923077,-0.11076923076923076,10.0
spectral_window_rule,650,0.06461538461538462,13,0.02,67,0.10307692307692308,29,-0.25846153846153846,-0.1476923076923077,-0.11076923076923076,10.0
