coverage_scored_by_map,abstention_rate_flagged,false_safe_rate,missed_safe_rate,safe_rate,utility_per_case,net_value_vs_always_flag
0.5,0.5,0.013846153846153847,0.10923076923076923,0.052307692307692305,-0.20923076923076922,-0.061538461538461514
0.55,0.44999999999999996,0.015384615384615385,0.1076923076923077,0.055384615384615386,-0.22153846153846155,-0.07384615384615384
0.6,0.4,0.016923076923076923,0.1076923076923077,0.05692307692307692,-0.23692307692307693,-0.08923076923076922
0.65,0.35,0.018461538461538463,0.10615384615384615,0.06,-0.24923076923076923,-0.10153846153846152
0.7,0.30000000000000004,0.02,0.10461538461538461,0.06307692307692307,-0.26153846153846155,-0.11384615384615385
0.75,0.25,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
0.8,0.19999999999999996,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
0.8500000000000001,0.1499999999999999,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
0.9,0.09999999999999998,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
0.95,0.050000000000000044,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
1.0,0.0,0.02,0.10307692307692308,0.06461538461538462,-0.25846153846153846,-0.11076923076923076
