dataset,study_group,test_id,event_no,t0,lambda_hat,n_s_hat,PGA_B,PGV_B,Ia_B,L,B,D,h_cd,observed_class,solver_lambda,solver_RV,solver_Rdelta_total,solver_rotation_ratio,solver_energy_proxy,solver_class,solver_status
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-3,1,0.06,2.5099800796022267,0.0,0.128,9.2,0.158,2.8,0.65,0.7,1.0,both_beneficial,4.110960958218899,1.0,16.900000000000052,4.78609378187523,4.841067624398575,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-4,2,0.06,2.5099800796022267,0.0,0.49,38.0,3.413,2.8,0.65,0.7,1.0,mixed,4.110960958218899,1.0,16.900000000000052,4.78609378187523,76.5460930420359,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-SHW-5,3,0.06,2.5099800796022267,0.0,0.983,56.3,8.032,2.8,0.65,0.7,1.0,mixed,4.110960958218899,1.0,16.900000000000052,4.78609378187523,227.51250121461268,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-3,4,0.05,3.0,0.0,0.128,9.2,0.158,2.8,0.65,0.7,1.0,both_beneficial,5.000000000000012,1.0,25.000000000000124,6.153846153846173,5.888000000000014,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-4,5,0.05,3.0,0.0,0.49,38.0,3.413,2.8,0.65,0.7,1.0,mixed,5.000000000000012,1.0,25.000000000000124,6.153846153846173,93.10000000000024,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG03-1-DSW-5,6,0.05,3.0,0.0,0.983,56.3,8.032,2.8,0.65,0.7,1.0,mixed,5.000000000000012,1.0,25.000000000000124,6.153846153846173,276.71450000000067,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-SHW-3,7,0.06,1.449137674618944,0.0,0.125,10.2,0.19,2.8,0.65,0.0,1.0,both_beneficial,2.073644135332772,1.0,4.299999999999999,1.6517602082042644,2.643896272549284,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-SHW-4,8,0.06,1.449137674618944,0.0,0.599,33.1,2.854,2.8,0.65,0.0,1.0,mixed,2.073644135332772,1.0,4.299999999999999,1.6517602082042644,41.113934906829336,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-3,9,0.05,1.7320508075688772,0.0,0.125,10.4,0.2,2.8,0.65,0.0,1.0,both_beneficial,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,3.43947670438397,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-4,10,0.05,1.7320508075688772,0.0,0.528,33.2,3.044,2.8,0.65,0.0,1.0,mixed,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,46.37896218243788,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Performance of Shallow Foundations,SSG04-1-DSW-5,11,0.05,1.7320508075688772,0.0,0.722,47.9,6.528,2.8,0.65,0.0,1.0,mixed,2.645751311064592,1.0,7.000000000000008,2.5319250939455262,91.50013419159563,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-1-P-2,12,0.003,2.449489742783178,0.0,0.6,17.6,7.596,0.5,0.5,0.0,0.586,mixed,6.684410780480779,1.0,44.68134748220766,11.368821560961559,70.58737784187703,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-2-P-1,13,0.003,2.949576240750525,0.0,0.711,71.5,5.705,0.5,0.5,0.05,0.586,mixed,8.0,1.0,64.0,14.0,406.692,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,nan,PWRI_S-4-P-2,15,0.003,2.5495097567963922,0.0,0.557,57.7,3.75,0.5,0.5,0.01,0.586,mixed,7.003533553173612,1.0,49.049482230428595,12.007067106347224,225.08586451209143,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-1,16,1.15,5.495452665613635,-2.0,0.064,7.4,0.034,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,0.5981933424659756,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-2,17,1.15,5.495452665613635,-2.0,0.064,7.3,0.027,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,0.5901096486488677,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-4,19,1.15,5.495452665613635,-2.0,0.15,19.0,0.219,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,3.5997699029308072,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-5,20,1.15,5.495452665613635,-2.0,0.075,10.5,0.177,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,0.9946732626519336,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-6,21,1.15,5.495452665613635,-2.0,0.076,10.2,0.171,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446224,1.0434782608695654,0.5115623497494525,0.9791374135971794,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-7,22,1.15,5.495452665613635,-2.0,0.345,32.2,0.728,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446222,1.043478260869565,0.5115623497494525,14.031524158476609,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-8,23,1.15,5.495452665613635,-2.0,0.468,47.9,1.763,9.756,6.238,2.24,12.13,mixed,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,28.3146532870107,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-MD-9,24,1.15,5.495452665613635,-2.0,0.688,70.3,5.393,9.756,6.238,2.24,12.13,mixed,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,61.090495099337744,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-1,25,1.15,3.8078865529319543,-2.0,0.064,7.4,0.034,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588462,1.0434782608695656,0.3661129831211356,0.534822928195946,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-2,26,1.15,3.8078865529319543,-2.0,0.064,7.3,0.027,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588462,1.0434782608695656,0.3661129831211356,0.5275955913284333,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-5,29,1.15,3.8078865529319543,-2.0,0.075,10.5,0.177,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,0.8893012161197371,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-6,30,1.15,3.8078865529319543,-2.0,0.076,10.2,0.171,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,0.8754111780774858,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-8,32,1.15,3.8078865529319543,-2.0,0.468,47.9,1.763,6.698,4.283,2.24,12.13,mixed,1.1292713855488725,0.818251402158846,1.0434782608695652,0.3661129831211356,25.315102504126187,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-1-SD-9,33,1.15,3.8078865529319543,-2.0,0.688,70.3,5.393,6.698,4.283,2.24,12.13,mixed,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,54.61879154201098,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-3,34,1.15,5.495452665613635,-2.0,0.078,9.9,0.035,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446224,1.0434782608695654,0.5115623497494525,0.9753481821204103,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-4,35,1.15,5.495452665613635,-2.0,0.153,19.5,0.162,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,3.7683907036470394,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-5,36,1.15,5.495452665613635,-2.0,0.367,35.3,0.773,9.756,6.238,2.24,12.13,both_beneficial,1.2630771589230902,0.6540691153446222,1.043478260869565,0.5115623497494525,16.363290901564525,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-6,37,1.15,5.495452665613635,-2.0,0.476,48.4,1.599,9.756,6.238,2.24,12.13,mixed,1.2630771589230902,0.6540691153446223,1.0434782608695652,0.5115623497494525,29.09927681813372,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-MD-7,38,1.15,5.495452665613635,-2.0,0.674,70.2,5.418,9.756,6.238,2.24,12.13,mixed,1.2630771589230902,0.6540691153446222,1.043478260869565,0.5115623497494525,59.76224315901424,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-3,39,1.15,3.8078865529319543,-2.0,0.078,9.9,0.035,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588462,1.0434782608695656,0.3661129831211356,0.8720233639208393,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-4,40,1.15,3.8078865529319543,-2.0,0.153,19.5,0.162,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,3.3691811787850607,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-5,41,1.15,3.8078865529319543,-2.0,0.367,35.3,0.773,6.698,4.283,2.24,12.13,both_beneficial,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,14.629823726924196,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-6,42,1.15,3.8078865529319543,-2.0,0.476,48.4,1.599,6.698,4.283,2.24,12.13,mixed,1.1292713855488725,0.8182514021588461,1.0434782608695654,0.3661129831211356,26.016605888829144,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD01-3-SD-7,43,1.15,3.8078865529319543,-2.0,0.674,70.2,5.418,6.698,4.283,2.24,12.13,mixed,1.1292713855488725,0.818251402158846,1.0434782608695652,0.3661129831211356,53.4312497529678,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-2,44,0.48,3.1622776601683795,-1.7805055245735428,0.092,10.3,0.045,7.35,4.7,2.24,12.13,both_beneficial,1.0878890452674759,0.9192113886523537,1.0878890452674757,0.22682853597754943,1.0308836592954602,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-3,45,0.48,3.1622776601683795,-1.6181699292545888,0.153,19.7,0.195,7.35,4.7,2.24,12.13,both_beneficial,1.0878890452674759,0.919211388652354,1.0878890452674759,0.22682853597754943,3.279006371340699,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-4,46,0.48,3.1622776601683795,-1.459807437159339,0.037,7.5,0.038,7.35,4.7,2.24,12.13,both_beneficial,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,0.30188921006172453,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-5,47,0.48,3.1622776601683795,-1.407035264173479,0.045,10.1,0.05,7.35,4.7,2.24,12.13,both_beneficial,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,0.4944455710740677,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-7,48,0.48,3.1622776601683795,-1.770722440063024,0.085,9.9,0.039,7.35,4.7,2.24,12.13,both_beneficial,1.0878890452674759,0.9192113886523537,1.0878890452674757,0.22682853597754943,0.9154586315925811,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-8,49,0.48,3.1622776601683795,-1.8754629452943148,0.438,44.1,1.639,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,21.01344722057751,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-9,50,0.48,3.1622776601683795,-1.315624291378681,0.218,29.5,1.062,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,6.996214450115137,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-11,51,0.48,3.1622776601683795,-1.7542036100804734,0.595,65.2,4.536,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,42.203567622106455,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-12,52,0.48,3.1622776601683795,-1.624019035289222,0.882,79.8,6.65,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,76.56954740648791,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-13,53,0.48,3.1622776601683795,-1.2816536315226028,0.229,38.4,1.167,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523537,1.0878890452674757,0.22682853597754943,9.566461108464075,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-14,54,0.48,3.1622776601683795,-1.505690770237747,0.431,50.5,2.03,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,23.678449014769246,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-15,55,0.48,3.1622776601683795,-0.7197853929791911,0.29,54.9,1.352,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,17.320281489703483,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-16,56,0.48,3.1622776601683795,-0.4591845980940478,0.407,71.6,2.517,7.35,4.7,2.24,12.13,both_detrimental,1.0878890452674759,0.919211388652354,1.0878890452674759,0.22682853597754943,31.702392245948563,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-17,57,0.48,3.1622776601683795,-0.4576942763304242,0.402,71.9,2.49,7.35,4.7,2.24,12.13,both_detrimental,1.0878890452674759,0.919211388652354,1.0878890452674759,0.22682853597754943,31.444127386602073,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-18,58,0.48,3.1622776601683795,-0.4539363875047762,0.395,71.5,2.444,7.35,4.7,2.24,12.13,both_detrimental,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,30.724706360966685,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-19,59,0.48,3.1622776601683795,-0.4531814209524158,0.393,70.9,2.406,7.35,4.7,2.24,12.13,both_detrimental,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,30.312613990619372,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-SF-20,60,0.48,3.1622776601683795,-1.2842989765735053,0.222,37.3,1.147,7.35,4.7,2.24,12.13,mixed,1.0878890452674759,0.9192113886523539,1.0878890452674759,0.22682853597754943,9.00837402824186,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-2,61,0.48,,,0.092,10.3,0.045,7.35,4.7,2.24,12.13,both_beneficial,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-3,62,0.48,,,0.153,19.7,0.195,7.35,4.7,2.24,12.13,both_beneficial,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-4,63,0.48,,,0.037,7.5,0.038,7.35,4.7,2.24,12.13,both_beneficial,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-5,64,0.48,,,0.045,10.1,0.05,7.35,4.7,2.24,12.13,both_beneficial,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-7,65,0.48,,,0.085,9.9,0.039,7.35,4.7,2.24,12.13,both_beneficial,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-8,66,0.48,,,0.438,44.1,1.639,7.35,4.7,2.24,12.13,mixed,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-9,67,0.48,,,0.218,29.5,1.062,7.35,4.7,2.24,12.13,mixed,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-11,68,0.48,,,0.595,65.2,4.536,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-12,69,0.48,,,0.882,79.8,6.65,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-13,70,0.48,,,0.229,38.4,1.167,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-14,71,0.48,,,0.431,50.5,2.03,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-15,72,0.48,,,0.29,54.9,1.352,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-16,73,0.48,,,0.407,71.6,2.517,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-17,74,0.48,,,0.402,71.9,2.49,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-18,75,0.48,,,0.395,71.5,2.444,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-19,76,0.48,,,0.393,70.9,2.406,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,Innovative Economical Foundations with Improved Performance that is Less Sensitive to Site Conditions,LJD03-1-ISF-20,77,0.48,,,0.222,37.3,1.147,7.35,4.7,2.24,12.13,both_detrimental,,,,,,uncertain,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-4,78,0.379,2.073644135332772,-2.0000000000000004,0.119,10.1,0.074,3.33,3.33,0.3,5.34,both_beneficial,1.1606801396454376,0.9093021711379138,1.2249922318157653,0.25766725096295395,1.3950214598398514,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-5,79,0.379,2.073644135332772,-1.746394214301107,0.26,19.0,0.329,3.33,3.33,0.3,5.34,mixed,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,5.7337598898484625,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-6,80,0.379,2.073644135332772,-1.76760600978022,0.123,11.1,0.335,3.33,3.33,0.3,5.34,both_beneficial,1.1606801396454376,0.9093021711379138,1.2249922318157653,0.25766725096295395,1.584676594657916,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-8,81,0.379,2.073644135332772,-1.574244520186916,0.129,9.0,0.093,3.33,3.33,0.3,5.34,both_beneficial,1.1606801396454376,0.9093021711379138,1.2249922318157653,0.25766725096295395,1.347549642128353,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-9,82,0.379,2.073644135332772,-2.0000000000000004,0.571,36.4,2.074,3.33,3.33,0.3,5.34,mixed,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,24.12404029444663,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-10,83,0.379,2.073644135332772,-1.8526422568243017,0.558,29.1,1.73,3.33,3.33,0.3,5.34,mixed,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,18.846891971534692,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-11,84,0.759,1.6431676725154984,-1.8915498141835745,0.63,62.2,4.219,6.66,6.66,0.6,10.68,mixed,1.0221117199049268,0.9783666310890324,1.0221117199049266,0.03545843372141411,40.05246985619446,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-12,85,0.759,1.6431676725154984,-1.9999999999999996,0.576,70.1,6.524,6.66,6.66,0.6,10.68,mixed,1.0221117199049268,0.9783666310890325,1.0221117199049268,0.03545843372141411,41.27041818163317,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-14,86,0.19,2.7386127875258306,-1.8681095020203864,0.443,20.1,0.695,1.665,1.665,0.15,2.67,mixed,1.9327040290391047,1.0,3.7353448638639883,1.4956875420627083,17.2093764857729,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-15,87,0.19,2.7386127875258306,-1.8773003417961935,0.528,15.0,0.694,1.665,1.665,0.15,2.67,mixed,1.9327040290391047,1.0,3.7353448638639883,1.4956875420627083,15.307015909989708,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-16,88,0.19,2.7386127875258306,-2.0,1.108,37.8,5.073,1.665,1.665,0.15,2.67,both_detrimental,1.9327040290391047,1.0,3.7353448638639883,1.4956875420627083,80.94628322582739,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-17,89,0.19,2.7386127875258306,-1.9742166385791908,1.22,30.0,4.084,1.665,1.665,0.15,2.67,both_detrimental,1.9327040290391047,1.0,3.7353448638639883,1.4956875420627083,70.73696746283123,both_detrimental,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-18,90,0.379,2.073644135332772,-1.728172710833746,0.02,1.2,0.004,3.33,3.33,0.3,5.34,mixed,1.1606801396454376,0.9093021711379138,1.2249922318157653,0.25766725096295395,0.027856323351490502,mixed,openseespy_3d_static_period_shift_proxy
FoRDy,NEESR-CR: Design of Soil and Structure Compatible Yielding to Improve System Performance,MAH01-1-SDm-20,91,0.379,2.073644135332772,-1.804750413512643,0.366,19.7,0.681,3.33,3.33,0.3,5.34,mixed,1.1606801396454376,0.9093021711379137,1.2249922318157653,0.25766725096295395,8.368735942871533,mixed,openseespy_3d_static_period_shift_proxy
