model,tests_used,accuracy,balanced_accuracy,false_safe_rate,mixed_recall,safe_precision,status
always_mixed,194,0.39690721649484534,0.3333333333333333,0.0,1.0,0.0,baseline_or_diagnostic
flexibility_only,177,0.3672316384180791,0.30635477582846005,0.05649717514124294,0.76,0.2857142857142857,baseline_or_diagnostic
majority_class,194,0.33505154639175255,0.28590812172901725,0.0,0.7532467532467533,0.0,baseline_or_diagnostic
proposed_predictive_centroid,194,0.5412371134020618,0.5387012987012987,0.05670103092783505,0.8961038961038961,0.7659574468085106,pass_screening_safety_partial_accuracy
spectral_slope_only,177,0.4011299435028249,0.4222222222222222,0.4180790960451977,0.4666666666666667,0.32727272727272727,baseline_or_diagnostic
