model,n,safe_rate,false_safe_count,false_safe_rate,missed_safe_count,missed_safe_rate,true_safe_count,utility_per_case,always_flag_utility_per_case,net_value_vs_always_flag,loss_ratio_false_safe_to_false_alarm
always_mixed,194,0.0,0,0.0,50,0.25773195876288657,0,-0.25773195876288657,-0.25773195876288657,0.0,10.0
flexibility_only,177,0.07909604519774012,10,0.05649717514124294,41,0.23163841807909605,4,-0.7740112994350282,-0.2542372881355932,-0.519774011299435,10.0
majority_class,194,0.0,0,0.0,50,0.25773195876288657,0,-0.25773195876288657,-0.25773195876288657,0.0,10.0
proposed_predictive_centroid,194,0.2422680412371134,11,0.05670103092783505,14,0.07216494845360824,36,-0.4536082474226804,-0.25773195876288657,-0.19587628865979384,10.0
spectral_slope_only,177,0.6214689265536724,74,0.4180790960451977,9,0.05084745762711865,36,-4.028248587570621,-0.2542372881355932,-3.7740112994350277,10.0
